    Elements		    BubbleSort		            SelectionSort		                InsertSort		            HeapSort		            MergeSort		            QuickSort		             RadixSort		               SmoothSort		            Timsort		                CombSort
    2^5 = 32 		    0.00007110s (85.77%)    	0.00008289s (100.00%)    	    0.00002646s (31.92%)    	0.00003932s (47.44%)        0.00003505s (42.29%)        0.00002955s (35.65%)        0.00000695s (8.38%)    	    0.00003726s (44.95%)        0.00002539s (30.63%)        0.00004000s (48.26%)    	
    2^6 = 64 		    0.00028744s (88.39%)    	0.00032521s (100.00%)    	    0.00009475s (29.13%)    	0.00009052s (27.83%)        0.00008014s (24.64%)        0.00006985s (21.48%)        0.00001291s (3.97%)    	    0.00008722s (26.82%)        0.00005937s (18.26%)        0.00010685s (32.86%)    	
    2^7 = 128 		    0.00112016s (88.80%)    	0.00126139s (100.00%)    	    0.00034941s (27.70%)    	0.00020261s (16.06%)        0.00017982s (14.26%)        0.00015805s (12.53%)        0.00002294s (1.82%)    	    0.00019834s (15.72%)        0.00013592s (10.78%)        0.00025554s (20.26%)    	
    2^8 = 256 		    0.00450885s (88.30%)    	0.00510651s (100.00%)    	    0.00143792s (28.16%)    	0.00045192s (8.85%)    	    0.00041324s (8.09%)    	    0.00036320s (7.11%)    	    0.00004478s (0.88%)    	    0.00045344s (8.88%)    	    0.00031161s (6.10%)    	    0.00066770s (13.08%)    	
    2^9 = 512 		    0.01820784s (90.35%)    	0.02015243s (100.00%)    	    0.00536141s (26.60%)    	0.00102940s (5.11%)    	    0.00094724s (4.70%)    	    0.00083237s (4.13%)    	    0.00009131s (0.45%)    	    0.00101781s (5.05%)    	    0.00070107s (3.48%)    	    0.00156503s (7.77%)    	
    2^10 = 1024 		0.07405150s (91.14%)    	0.08125167s (100.00%)    	    0.02132418s (26.24%)    	0.00223911s (2.76%)    	    0.00213225s (2.62%)    	    0.00185311s (2.28%)    	    0.00017450s (0.21%)    	    0.00225239s (2.77%)    	    0.00149763s (1.84%)    	    0.00355084s (4.37%)    	
    2^11 = 2048 		0.29686837s (91.22%)    	0.32544250s (100.00%)    	    0.08470740s (26.03%)    	0.00494540s (1.52%)    	    0.00460110s (1.41%)    	    0.00408969s (1.26%)    	    0.00035489s (0.11%)    	    0.00491257s (1.51%)    	    0.00328457s (1.01%)    	    0.00807238s (2.48%)    	
    2^12 = 4096 		1.18919065s (91.35%)    	1.30173600s (100.00%)    	    0.33963552s (26.09%)    	0.01059690s (0.81%)    	    0.00992289s (0.76%)    	    0.00870645s (0.67%)    	    0.00070574s (0.05%)    	    0.01063335s (0.82%)    	    0.00707784s (0.54%)    	    0.01806238s (1.39%)    	
    2^13 = 8192 		4.74450862s (91.46%)    	5.18764172s (100.00%)    	    1.35101547s (26.04%)    	0.02292542s (0.44%)    	    0.02153137s (0.42%)    	    0.01876922s (0.36%)    	    0.00137219s (0.03%)    	    0.02296624s (0.44%)    	    0.01526747s (0.29%)    	    0.04008484s (0.77%)    	
    2^14 = 16384 	   19.07162616s (91.82%)       20.77136967s (100.00%)    	    5.44760711s (26.23%)    	0.04996536s (0.24%)    	    0.04677126s (0.23%)    	    0.04160812s (0.20%)    	    0.00277421s (0.01%)    	    0.04967208s (0.24%)    	    0.03362598s (0.16%)    	    0.08869600s (0.43%)    	
    

    small range array shuffled 0-10
    
    2^3 = 8 	    	0.00001311s (66.67%)    	0.00001049s (53.33%)    	    0.00000596s (30.30%)    	0.00001967s (100.00%)    	0.00001323s (67.27%)    	0.00001097s (55.76%)    	0.00000751s (38.18%)    	0.00001359s (69.09%)    	0.00000739s (37.58%)    	0.00001049s (53.33%)    	
    2^4 = 16 	    	0.00002480s (97.65%)    	0.00002515s (99.06%)    	    0.00001264s (49.77%)    	0.00002539s (100.00%)    	0.00001872s (73.71%)    	0.00001681s (66.20%)    	0.00000966s (38.03%)    	0.00002515s (99.06%)    	0.00001490s (58.69%)    	0.00002456s (96.71%)    	
    2^5 = 32 	    	0.00010324s (100.00%)    	0.00008762s (84.87%)    	    0.00004375s (42.38%)    	0.00005710s (55.31%)    	0.00004232s (40.99%)    	0.00003910s (37.88%)    	0.00001884s (18.24%)    	0.00005746s (55.66%)    	0.00004375s (42.38%)    	0.00005639s (54.62%)    	
    2^6 = 64 	    	0.00040245s (100.00%)    	0.00033045s (82.11%)    	    0.00017095s (42.48%)    	0.00016367s (40.67%)    	0.00012136s (30.15%)    	0.00008023s (19.93%)    	0.00002575s (6.40%)    	    0.00013399s (33.29%)    	0.00008452s (21.00%)    	0.00013304s (33.06%)    	
    2^7 = 128 	    	0.00155568s (100.00%)    	0.00133097s (85.56%)    	    0.00064027s (41.16%)    	0.00031567s (20.29%)    	0.00020516s (13.19%)    	0.00019991s (12.85%)    	0.00004625s (2.97%)    	    0.00032902s (21.15%)    	0.00020325s (13.07%)    	0.00030065s (19.33%)    	
